Progress,Duration (in seconds),Finished,subID,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q25,Q26,Q27,Q28,Q134,Q30,Q31,Q32,Q33,Q34,Q36,Q37,Q38,Q39,Q40,Q42,Q43,Q44,Q45,Q46,Q47,Q49,Q50,Q51,Q52,Q53,Q56,Q57,Q58,Q59,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q71,Q72,Q73,Q74,Q75,Q77,Q78,Q79,Q80,Q82,Q83,Q84,Q85,Q135,Q87,Q88,Q89,Q90,Q91,Q93,Q94,Q95,Q96,Q97,Q99,Q100,Q101,Q102,Q103,Q104,Q106,Q107,Q108,Q109,Q110,Q112,Q113,Q114,Q115,Q119,Q121,Q123,Q125,Q127,Q129,Q131,Q133,Q135,Q137,Q139,Q133 - Topics
Progress,Duration (in seconds),Finished,subID,"When he unlocked his door, Al intended to do that.","When he turned on his computer, Al intended to do that.","When he made his computer crash, Al intended to do that.","When he checked his e-mail, Al intended to do that.",Al intentionally turned on his computer.,Al intentionally unlocked his door.,Al intentionally made his computer crash.,"When she slammed on her brakes, Beth intended to do that.",Beth intended to avoid hitting the dog.,"When she made her lunch fall onto the floor, Beth intended to do that.",Beth intentionally made her lunch fall onto the floor.,Beth intentionally slammed on her brakes.,"When he pressed the orange button, Carlos intended to produced the brain wave he produced.","When he pressed the orange button, Carlos intended to do that.",Carlos intentionally pressed the orange button.,Carlos intentionally produced the brain wave he produced.,"When Debby pressed the Z key, she intended to do that.","When Debby pressed the Z key, she intended to produce the brain wave she produced.",Debby intentionally produced the brain wave she produced.,Debby intentionally pressed the Z key.,"Please select ""somewhat agree"" from the answer choices below.","When he frightened the burglar, Ezra intended to do that.","When he flipped the switch, Ezra intended to do that.","When he turned on his kitchen light, Ezra intended to do that.",Ezra intentionally frightened the burglar.,Ezra intentionally flipped the switch.,"When she irritated the cyclist, Filomena intended to do that.","When she released a lot of exhaust fumes, Filomena intended to do that.","When she pressed down on her gas pedal, Filomena intended to do that.",Filomena intentionally released a lot of exhaust fumes.,Filomena intentionally pressed down on her gas pedal.,"When he drove over the plastic bag, Greg intended to do that.","When he turned left, Greg intended to do that.","When he used his turn signal, Greg intended to do that.",Greg intended to signal for a right turn.,Greg intentionally drove over the plastic bag.,Greg intentionally used his turn signal.,Hannah intended to walk to the library.,Hannah intended to take each step she took on her way to the library.,Hannah intended to make Ike count her steps.,Hanna intentionally took each step she took on her way to the library.,Hannah intentionally walked to the library.,Ivan intended to shout at the skateboarder.,Ivan intended to upset the professor.,Ivan intentionally shouted at the skateboarder.,Ivan intentionally upset the professor.,"When he unlocked his door, Al intended to do that.","When he turned on his computer, Al intended to do that.","When he made his computer crash, Al intended to do that.","When he checked his e-mail, Al intended to do that.",Al intentionally turned on his computer.,Al intentionally unlocked his door.,Al intentionally made his computer crash.,"When she slammed on her brakes, Beth intended to do that.",Beth intended to avoid hitting the dog.,"When she made her lunch fall onto the floor, Beth intended to do that.",Beth intentionally made her lunch fall onto the floor.,Beth intentionally slammed on her brakes.,"When he pressed the orange button, Carlos intended to produced the brain wave he produced.","When he pressed the orange button, Carlos intended to do that.",Carlos intentionally pressed the orange button.,Carlos intentionally produced the brain wave he produced.,"When Debby pressed the Z key, she intended to do that.","When Debby pressed the Z key, she intended to produce the brain wave she produced.",Debby intentionally produced the brain wave she produced.,Debby intentionally pressed the Z key.,"Please select ""somewhat agree"" from the answer choices below.","When he frightened the burglar, Ezra intended to do that.","When he flipped the switch, Ezra intended to do that.","When he turned on his kitchen light, Ezra intended to do that.",Ezra intentionally frightened the burglar.,Ezra intentionally flipped the switch.,"When she irritated the cyclist, Filomena intended to do that.","When she released a lot of exhaust fumes, Filomena intended to do that.","When she pressed down on her gas pedal, Filomena intended to do that.",Filomena intentionally released a lot of exhaust fumes.,Filomena intentionally pressed down on her gas pedal.,"When he drove over the plastic bag, Greg intended to do that.","When he turned left, Greg intended to do that.","When he used his turn signal, Greg intended to do that.",Greg intended to signal for a right turn.,Greg intentionally drove over the plastic bag.,Greg intentionally used his turn signal.,Hannah intended to walk to the library.,Hannah intended to take each step she took on her way to the library.,Hannah intended to make Ike count her steps.,Hanna intentionally took each step she took on her way to the library.,Hannah intentionally walked to the library.,Ivan intended to shout at the skateboarder.,Ivan intended to upset the professor.,Ivan intentionally shouted at the skateboarder.,Ivan intentionally upset the professor.,What is your gender?,"If your gender identity was not represented in the choices above, please write in your gender here.",What is your sexual orientation?,"If your sexual orientation was not represented in the choices above, please write in your sexual orientation here.",What is your relationship status?,What is your age?,What is your race/ethnicity?,"If your race/ethnicity was not represented in the choices above, please write in your race/ethnicity here.",What is your religious affiliation?,Use the following five-point scale to indicate how religious you consider yourself to be.,How would you describe yourself in terms of political ideology?,Q133 - Topics
100,133,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Man,,Heterosexual,,Single,23,White/European,,Christianity,3 Somewhat  Religious,1,
100,79,TRUE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Agree,Strongly disagree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Strongly disagree,Somewhat agree,Disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Agree,Disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Woman,,Bisexual,,Married,22,Multi-racial/Mixed heritage,,Agnosticism,3 Somewhat  Religious,2,
100,218,TRUE,3,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man,,Heterosexual,,Single,26,White/European,,Christianity,2,1,
100,286,TRUE,4,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Agree,Strongly agree,Somewhat disagree,Disagree,Agree,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man,,Heterosexual,,Single,,White/European,,Agnosticism,1 Not at all religious,5,
100,256,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Somewhat disagree,Disagree,Somewhat disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Woman,,Bisexual,,Single,26,Hispanic/Latino,,Atheism,1 Not at all religious,6 Liberal,
100,284,TRUE,6,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woman,,Bisexual,,Married,29,Black/African American,,Christianity,4,3 Moderate,
100,288,TRUE,7,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woman,,Heterosexual,,Single,28,White/European,,Agnosticism,1 Not at all religious,6 Liberal,
100,312,TRUE,8,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woman,,Asexual,,"Single,In a committed monogamous relationship",29,White/European,,Agnosticism,1 Not at all religious,4,
100,305,TRUE,9,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man,,Heterosexual,,Single,30,White/European,,Christianity,4,1,
