Progress,Duration (in seconds),Finished,subID,Bot 1,Bot 2,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,A Check 1,E1,E2,E3,E4,F1,F2,F3,F4,A Check 2,G1,G2,G3,G4,I1,I2,I3,I4,Q94,Q98,Q100
Progress,Duration (in seconds),Finished,subID,Monday is the first day of the week. What is the third day of the week?,January is the first month of the year. What is the fifth month of the year?,"When he turned on his computer, Al had an intention to do that right then.","When he made his computer crash, Al had an intention to do that right then.",Al intentionally turned on his computer.,Al intentionally made his computer crash.,"When she slammed on her brakes, Beth had an intention to do that right then.","When she made her lunch fall onto the floor, Beth had an intention to that right then.",Beth intentionally made her lunch fall onto the floor.,Beth intentionally slammed on her brakes.,"When he pressed the orange button, Carlos had an intention to produce the brain wave he produced right then.","When he pressed the orange button, Carlos had an intention to do that right then.",Carlos intentionally pressed the orange button.,Carlos intentionally produced the brain wave he produced.,"When Debby pressed the Z key, she had an intention to do that right then.","When Debby pressed the Z key, she had an intention to produce the brain wave she produced right then.",Debby intentionally produced the brain wave she produced.,Debby intentionally pressed the Z key.,"Please select ""somewhat agree"" from the answer choices below.","When he frightened the burglar, Ezra had an intention to do that right then.","When he flipped the switch, Ezra had an intention to do that right then.",Ezra intentionally frightened the burglar.,Ezra intentionally flipped the switch.,"When she released a lot of exhaust fumes, Filomena had an intention to do that right then.","When she pressed down on her gas pedal, Filomena had an intention to do that right then.",Filomena intentionally released a lot of exhaust fumes.,Filomena intentionally pressed down on her gas pedal.,"Please select ""somewhat agree"" from the answer choices below.","When he drove over the plastic bag, Greg had an intention to do that right then.","When he used his turn signal, Greg had an intention to do that right then.",Greg intentionally drove over the plastic bag.,Greg intentionally used his turn signal.,Ivan had an intention to shout at the skateboarder.,Ivan had an intention to upset the professor.,Ivan intentionally shouted at the skateboarder.,Ivan intentionally upset the professor.,What is your gender?,What is your age?,What is your race/ethnicity?
100,45,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,109,1,2,2,4,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3,6,4,4,4,2,37,3
100,197,1,3,2,4,2,6,2,6,2,5,6,3,4,2,2,4,2,4,4,2,3,6,3,6,2,6,2,6,2,3,4,2,4,2,2,6,2,6,1,29,3
100,160,1,4,2,4,7,4,5,6,5,5,6,7,4,5,5,6,5,5,7,6,3,7,5,6,5,7,5,6,4,3,7,6,4,5,6,6,5,4,1,29,1
100,167,1,5,2,4,1,7,1,7,1,7,7,1,2,2,2,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,7,1,7,1,1,6,1,7,2,33,3
100,154,1,6,2,4,7,7,1,7,1,6,6,1,2,2,2,1,2,2,5,5,3,6,1,7,1,6,6,6,6,3,3,2,3,2,2,3,3,6,1,28,3
100,231,1,7,2,4,1,7,1,7,1,7,7,1,4,1,1,4,4,4,7,1,3,7,1,7,1,7,1,7,1,3,7,1,4,1,1,7,1,7,1,46,3
100,235,1,8,2,4,1,7,1,7,2,6,6,1,7,1,1,6,1,1,1,1,3,7,1,7,1,7,1,7,1,3,1,1,1,1,1,1,1,1,5,20,3
100,201,1,9,2,4,2,6,2,6,2,6,6,2,6,2,2,6,2,6,6,2,3,6,2,6,2,6,2,6,2,3,6,2,6,2,2,6,2,6,2,29,3
100,206,1,10,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,1,1,1,1,1,7,1,6,1,27,3
100,196,1,11,2,4,5,4,5,4,5,5,4,4,5,5,4,4,4,5,5,4,3,4,4,5,5,5,5,4,4,3,5,4,4,5,4,5,4,5,1,36,3
100,196,1,12,2,4,4,4,5,3,3,5,5,4,6,3,4,5,4,4,5,3,3,5,3,6,4,5,4,4,2,3,5,3,4,3,4,3,5,3,1,27,3
100,149,1,13,2,4,6,2,3,4,3,4,5,2,3,5,4,7,5,3,5,4,3,3,4,5,2,2,4,5,4,3,3,4,5,4,5,4,3,5,1,30,3
100,285,1,14,2,4,2,6,2,6,2,6,6,2,6,2,2,6,2,6,6,2,3,6,2,6,2,6,2,6,2,5,6,2,6,2,2,6,2,6,2,39,3
100,254,1,15,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,5,1,5,1,1,7,1,7,2,39,3
100,277,1,16,2,4,2,1,2,6,1,2,6,2,2,1,2,2,3,2,2,1,3,1,2,3,2,2,2,6,3,3,2,3,4,2,2,4,2,4,1,33,3
100,270,1,17,2,4,1,7,1,7,1,6,6,1,6,1,1,6,1,5,6,1,3,6,1,6,1,7,1,7,1,3,2,4,1,4,1,7,1,7,2,30,3
100,286,1,18,2,4,2,6,2,6,2,6,6,2,6,2,2,6,3,6,6,2,3,6,6,6,2,6,2,6,2,3,2,2,2,2,2,6,2,6,1,66,3
100,274,1,19,2,4,2,6,2,6,2,6,6,2,5,2,3,5,2,5,5,2,3,6,2,6,2,6,2,6,2,3,3,2,2,2,2,6,2,6,2,64,3
100,300,1,20,2,4,7,7,1,7,2,7,7,2,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,5,2,5,3,4,7,2,7,2,66,3
100,225,1,21,2,4,2,6,2,6,3,6,6,3,6,2,2,6,2,6,6,2,3,6,2,6,2,6,2,6,2,3,5,3,5,3,4,6,3,6,1,34,3
100,284,1,22,2,4,1,7,1,7,1,7,7,1,7,2,2,7,1,7,7,1,3,7,1,7,1,7,2,7,1,3,7,1,7,1,1,7,1,6,1,32,3
100,262,1,23,2,4,3,3,1,7,3,6,7,1,3,2,3,3,3,3,2,2,3,1,3,7,1,6,3,6,7,3,6,1,7,3,3,7,3,7,1,41,2
100,206,1,24,2,4,2,6,2,6,2,6,6,2,3,2,2,3,2,3,3,2,3,6,2,6,2,6,2,6,2,3,2,2,2,2,2,6,2,6,1,25,3
