Progress,Duration (in seconds),Finished,subID,Bot 1,Bot 2,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,A Check 1,E1,E2,E3,E4,F1,F2,F3,F4,A Check 2,G1,G2,G3,G4,I1,I2,I3,I4,Q94,Q98,Q100
Progress,Duration (in seconds),Finished,subID,Monday is the first day of the week. What is the third day of the week?,January is the first month of the year. What is the fifth month of the year?,"When he turned on his computer, Al had an intention to do that right then.","When he made his computer crash, Al had an intention to do that right then.",Al intentionally turned on his computer.,Al intentionally made his computer crash.,"When she slammed on her brakes, Beth had an intention to do that right then.","When she made her lunch fall onto the floor, Beth had an intention to that right then.",Beth intentionally made her lunch fall onto the floor.,Beth intentionally slammed on her brakes.,"When he pressed the orange button, Carlos had an intention to produce the brain wave he produced right then.","When he pressed the orange button, Carlos had an intention to do that right then.",Carlos intentionally pressed the orange button.,Carlos intentionally produced the brain wave he produced.,"When Debby pressed the Z key, she had an intention to do that right then.","When Debby pressed the Z key, she had an intention to produce the brain wave she produced right then.",Debby intentionally produced the brain wave she produced.,Debby intentionally pressed the Z key.,"Please select ""somewhat agree"" from the answer choices below.","When he frightened the burglar, Ezra had an intention to do that right then.","When he flipped the switch, Ezra had an intention to do that right then.",Ezra intentionally frightened the burglar.,Ezra intentionally flipped the switch.,"When she released a lot of exhaust fumes, Filomena had an intention to do that right then.","When she pressed down on her gas pedal, Filomena had an intention to do that right then.",Filomena intentionally released a lot of exhaust fumes.,Filomena intentionally pressed down on her gas pedal.,"Please select ""somewhat agree"" from the answer choices below.","When he drove over the plastic bag, Greg had an intention to do that right then.","When he used his turn signal, Greg had an intention to do that right then.",Greg intentionally drove over the plastic bag.,Greg intentionally used his turn signal.,Ivan had an intention to shout at the skateboarder.,Ivan had an intention to upset the professor.,Ivan intentionally shouted at the skateboarder.,Ivan intentionally upset the professor.,What is your gender?,What is your age?,What is your race/ethnicity?
100,45,TRUE,1,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,109,TRUE,2,Wednesday,May,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Woman,37,White/European
100,197,TRUE,3,Wednesday,May,Agree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Man,29,White/European
100,160,TRUE,4,Wednesday,May,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Man,29,Black/African American
100,167,TRUE,5,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Woman,33,White/European
100,154,TRUE,6,Wednesday,May,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Disagree,Man,28,White/European
100,231,TRUE,7,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,46,White/European
100,235,TRUE,8,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Gender Non-conforming,20,White/European
100,201,TRUE,9,Wednesday,May,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Woman,29,White/European
100,206,TRUE,10,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Man,27,White/European
100,196,TRUE,11,Wednesday,May,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Man,36,White/European
100,196,TRUE,12,Wednesday,May,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Man,27,White/European
100,149,TRUE,13,Wednesday,May,Disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Man,30,White/European
100,285,TRUE,14,Wednesday,May,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Woman,39,White/European
100,254,TRUE,15,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Woman,39,White/European
100,277,TRUE,16,Wednesday,May,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Man,33,White/European
100,270,TRUE,17,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Somewhat disagree,Disagree,Strongly agree,Somewhat agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Woman,30,White/European
100,286,TRUE,18,Wednesday,May,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Man,66,White/European
